Crop,Rainfall,Temperature,Nitrogen,Phosphorus,Potassium,pH,Yield
Peanut,355.66553408284017,28.38170699663766,49.79567415213905,34.18613785575432,33.074855285145226,7.111001617001514,2.8634163343708745
Cowpea,610.9609098426351,20.357566633256845,28.745518992144135,50.2142115241345,20.79607909051591,6.298256476029973,2.2997688755590464
Black Gram,609.7599104808294,25.390508555406242,31.12762832922651,64.77201283171736,42.76422101389302,6.239488974565335,1.845228796307005
Pearl Millet,304.41782493412353,34.443769938688156,43.463781804505075,21.85491686760296,21.93432753666928,7.5424830990423795,2.5885698721438493
Sunflower,321.7252214615486,24.431948315405798,44.99304651412837,57.6688611608448,32.36400594235374,6.43976742211064,3.0715994987361084
Sugarcane,1861.7069003107772,28.660282178851432,170.45718362149233,52.29121918278311,61.39491378257734,6.434081945403161,64.78751861541765
Sorghum,646.5934667021079,25.701893375587492,58.13641209473742,36.68220853281501,23.253081943121696,6.388176750568804,3.1754379359442333
Mustard,768.327293856247,27.072495393452307,64.36524022667953,35.13415944594291,51.87380393851048,6.245103740642892,2.4486386043941195
Sugarcane,1639.9997598540929,28.354246156619695,168.46142509898746,92.14259600949049,88.79999557731225,6.343572107946157,61.926014634242264
Soybean,600.5823935111645,20.794263262538568,56.5254449674218,52.68720205914009,41.53742812156928,6.318939816081211,1.9984625189845546
Sugarcane,1914.5475897405436,26.882777788810984,126.48801664980525,62.33137538469917,78.06840670815754,6.394112412784403,95.07515941341242
Sugarcane,1583.5329249456563,25.429946655704164,199.7325777989161,56.9165872445428,74.67579174448156,7.133673236300607,111.66617457999995
Maize,750.978416681236,27.504952372355568,81.1079983399842,27.2234697153185,38.356675027728784,7.4922427604801936,4.587343035297411
Black Gram,830.389851117249,20.137772263313835,48.828872774407785,57.26841476106299,36.109109912263854,6.400237784928814,2.281923597159616
Wheat,517.4000514589704,12.372366315170046,60.12981264406917,41.662761839297325,41.59042006657772,7.4578321483051715,4.404905497630161
Black Gram,856.3139196724103,30.4462228380412,31.937791657945315,55.557979794640204,38.26910634314517,6.229258902824452,2.5250216001503025
Black Gram,876.7498738267514,31.069208967419296,56.73973977582809,53.95778337840916,34.658171240868434,6.167801587981343,1.725961534361867
Cotton,1064.7423633579901,23.59178465507088,74.452295546834,52.6942777475564,33.150281931654646,7.329768987111569,3.132046506840177
Sunflower,566.3530847647578,19.76064716128618,66.3900329098947,58.40546039114973,34.953808769223826,6.791510681127381,3.016484793706572
Sorghum,671.5653972008707,31.328977949537084,67.59470528398487,34.258979456382434,27.979845999948584,7.179217399095707,2.4335512563232347
Sugarcane,1517.5758410355907,21.815062938023985,122.46973370315574,66.90427810737276,79.41543592286166,6.345172098894865,73.21304306709357
Wheat,683.1363786193816,10.883106503144852,62.6960131244123,20.942388741590545,29.912854672414962,6.771234179712883,3.1961931599113673
Green Gram,507.1184036852193,21.5877421847003,57.42056962322684,52.84172373301138,34.180130789353825,7.17692913643613,2.614993995533287
Sorghum,337.7303185967529,29.884741242719947,54.17190266358215,28.22204552099476,37.276734967392066,5.6354279680804265,3.1336387206644787
Peanut,349.20893557597947,23.636697949431763,53.572104215798525,55.85017609058373,37.459690017608565,6.285313362661217,2.6215338695828296
Chickpea,491.7440178936166,25.55153682081161,54.9794381628232,33.015395534971574,44.24066734195108,7.283950338702559,1.1958174564032007
Peanut,799.6412342063634,29.704386191119326,78.75985029139005,57.79100949024382,55.460872032429165,6.249466665905871,2.714102813626796
Sorghum,645.8601576120861,33.53664298265823,46.58548485606107,20.043107567028528,27.808435151756264,7.816295183898333,3.462823391985304
Pearl Millet,398.052620096557,34.44512933117575,69.81690757970856,31.115366468112363,34.36816550592652,5.464390475822192,1.8824279986374974
Rice,1579.1802908162563,28.337561610994193,109.91902241516257,31.714958187224493,47.52532783376914,6.25427557437927,6.0581596761448555
Maize,522.7518318914738,24.093941963921022,102.56712726720608,27.39824664463273,27.378630218151503,7.223638403940258,4.211326653954832
Sugarcane,1569.6754101381848,28.68378586260816,103.97416622890644,54.09917027474378,82.86865822362613,6.847840385766134,78.98219075860362
Pearl Millet,321.49071979823776,31.310493410262392,39.54743810463384,27.91571693582509,33.43380445919942,5.899991239396287,1.9272075514252642
Sunflower,767.8671437224117,18.13041639637945,64.84637021972371,46.88980936916838,32.99943746773766,6.806451606152441,2.7647117351219133
Maize,873.3037511974836,28.570370084237275,103.96351212422714,37.93344810586094,30.52113913250312,7.167489909279614,5.110619775262113
Cowpea,891.9266551257411,29.685199319181706,41.1576277040908,56.71452814850334,36.638068474690336,7.397634059154116,1.207173003836423
Sugarcane,1134.2911143933677,21.731430056286534,110.70359777094177,77.6611820442408,63.617410615740816,6.907244740545336,103.05673122832788
Sorghum,574.9988515205322,32.79369223087846,60.21636232391948,25.02242504139788,38.16318092437144,5.626997234156327,3.0857111182729855
Cotton,693.6761567805762,20.053185336316734,106.26715338117762,55.48453509205518,40.47821049737393,7.353077270869827,2.6033608422527825
Chickpea,680.4534323873731,21.34248656707202,57.80203756186556,57.64078495023506,24.471628564355584,6.054042207091246,1.7384319690243835
Black Gram,474.0468927837413,21.529346231385666,32.330333997205344,65.9592595497036,43.88366914664125,7.2910538730013545,2.7978492730529494
Sorghum,572.8266753242306,30.004001159533146,54.14714538458473,31.197670382877394,37.49425447082182,7.9345925565932225,3.373694027858848
Sugarcane,1929.8810156936743,32.96908544329946,197.62060329309628,90.53858599701985,94.07081023316621,6.037179542847283,104.19386830530493
Soybean,791.1932480738158,24.940557998618644,46.79628517152787,59.40230155311504,27.445017233522023,6.238796764471097,2.402556376279825
Chickpea,836.0833914530449,30.30311901605338,28.897348701826576,62.663464223877156,33.809097040368265,6.457786301007901,2.590690998305724
Sorghum,389.1694188823236,29.900497741229437,55.93863914259134,25.57206122046008,21.3884150932564,7.433316593600902,2.3778653227068807
Black Gram,599.8391921800304,31.77379624637912,41.44862929914888,67.56948561298863,23.460252555542827,7.455600916533342,1.3571356323449273
Pearl Millet,263.39001907364195,29.75542631484068,43.82748446719201,35.72856356407364,28.72787767741216,7.952707547949769,1.46598530326746
Sugarcane,1576.5880434965995,23.82083759207873,170.87852838341706,50.08456391093147,96.27875827495413,6.807677995639188,103.16579994869073
Mustard,668.5188467451502,20.75849180742428,57.25189598499948,58.466234579139424,57.62312568654121,6.934733114919614,3.158468690663861
Wheat,687.9017052055801,14.504834023168963,72.37138648834613,32.251787258576506,32.07201161173174,6.44348280378892,2.818219497647883
Chickpea,732.4647171063857,24.5497433254705,49.9253824063556,36.961093728397756,37.07315764597428,6.609112753137245,2.667450338608115
Pearl Millet,350.4198009041245,27.58854594986785,53.19939124782728,33.09411247406143,29.299763804940284,6.326479397914422,1.6915132222749305
Green Gram,796.867699553001,31.517984044196435,49.438457837608865,56.35402979993687,28.513592149790824,6.995780754457498,2.238521610724751
Wheat,727.3693858146657,21.267072063110984,86.91182682228668,26.739219979918648,25.9738979817973,6.036638081590239,3.1121063601958756
Green Gram,705.63698653034,29.221872068002362,38.21664673520357,65.44547636203926,37.27012698227955,7.077518873248483,1.7679569347855026
Chickpea,521.9922197892195,27.872696133341407,20.22179272552127,60.03857906473891,43.10138565722075,6.159880944845308,1.8502923878854682
Maize,821.6439424692571,26.35094131689886,83.2274942287126,44.50920279116883,57.111450505940404,5.742717198378768,3.4000173166710868
Green Gram,733.7888662931766,31.85470943679738,43.818092738776784,68.00158433772623,46.74277777431311,6.918978484142644,2.438547922551934
Black Gram,613.3703784293277,30.88225676547336,37.83654448306802,36.36631630171997,45.844847293497864,6.675104635870362,2.5035535730010228
Cotton,946.3630057433094,31.48720526445748,91.27798876967893,55.06993747927125,40.98389787670153,5.693708384661839,2.071456301726305
Pearl Millet,367.5466378174599,33.609348826274115,33.22310630630674,23.01661316026173,27.660705848626762,5.458415799731444,1.692091617343771
Chickpea,603.7996848332933,26.511333686046985,36.63096936412624,38.27337558057641,32.60430553320277,7.357257717510265,2.1681588284084503
Mustard,309.76597836886356,30.329193418609528,63.02761387240321,44.309391976720704,58.28224972302291,6.447918978558575,2.474966620159297
Sugarcane,1953.430338470106,26.28531923944733,174.75156689780508,77.30661548669195,80.16262944706207,6.330808041485728,73.16529807728617
Chickpea,642.8209968992502,24.666286438953534,46.754944824916684,61.925692976807554,41.72544132881866,7.260758494593838,2.839083241337952
Cowpea,667.0618147662522,30.88314635104122,43.675711025116435,56.51999027344645,22.518423864860008,6.642919154491643,2.73370271119026
Maize,520.113853395451,22.549246370257677,70.58301421057408,36.4396031708458,51.64303977629095,6.258252431128272,5.256029470664354
Cotton,795.0953787311171,32.52366372368182,88.21841017278281,59.960970443314025,32.08342432973022,7.879799230954802,1.9484443314394964
Wheat,712.493219844358,19.77631982865834,90.16932816238105,48.48835198147967,25.980820470875987,6.030570025980499,2.880955864461976
Maize,689.4244243784512,19.37267335331168,107.3878511108326,41.276189420232726,33.96852937967653,6.237790348645882,4.8176780776809345
Mustard,659.178614298004,28.88908640645606,46.55063240668797,39.33116758795799,47.36054197527731,7.393330752610682,2.9394918210310355
Sugarcane,1958.172838205896,25.94981662274941,171.50147050494684,53.799823892153,84.530720796649,6.940863593401566,66.11407832675859
Sunflower,450.7913427438335,27.579626548333188,72.22111854584665,53.88681649800636,46.977976661019476,6.061603695309204,2.831863113276251
Peanut,485.28543810902806,25.08345105547909,53.64924699445133,55.48726880998732,54.66992754270174,6.158308305965998,3.9019689180364465
Peanut,745.7875074025516,24.436350866424448,46.119645963754394,35.28410883258178,45.652402408154394,6.975686121025112,3.0397808851338777
Sugarcane,1538.1729064482556,27.25246255824794,143.55744930038944,86.55131071525611,63.419776902461265,7.277569740028998,109.8438611334362
Wheat,511.5712996769881,16.762030002906556,90.01905127308025,37.095489340349665,40.045654113364805,6.504594929837063,3.735766259039805
Soybean,490.9199285788459,22.545438202156866,51.91329427312386,43.61355372657135,46.40959939274676,7.051775625498302,1.5525371515123698
Rice,1516.6272517149341,25.52845138821679,89.6542420149072,42.19284374011558,46.65528634745583,5.860485904186323,4.928279332352494
Mustard,545.4106675392931,29.101060153852444,43.722134022186864,36.6478920141759,50.75361465885605,6.459309045195132,2.953888963330918
Green Gram,676.7364775051249,24.12508872975443,59.86525855837328,52.01553891026714,30.55431582842505,6.680617894279768,1.6132459826976608
Sorghum,348.26235390092234,22.88876440177276,44.78218965020211,30.717279307674996,35.24379218968206,5.962874606094155,2.040961599696514
Green Gram,538.2498134843446,27.07504287152949,50.408315814923306,53.87162962049207,49.415318913875396,7.2489425449906015,1.592492926530289
Soybean,489.72077184270165,20.169780407072764,41.36540357070653,40.97245307133069,49.228847933082136,6.830038450197913,2.3948347858203887
Maize,755.147862042371,27.033506109495043,65.12938233938803,25.42928911814278,34.951876449800224,6.457428417212796,4.0221177976808775
Rice,1252.4783904929727,30.893783717020106,84.56348562899699,31.960303053417974,44.752396808732044,6.365531734706227,5.559353054768049
Maize,559.6790337894621,24.75407516501477,75.19177559211138,59.78713429485771,29.145804677401156,7.028886890652388,4.818952953728888
Sunflower,609.2091762486366,28.85970955577504,55.21512104586198,57.255131328714114,38.92059397552162,6.882787708081654,2.5720745903510647
Cowpea,710.5136605360742,27.315570946941563,49.6035722193818,67.90360801301512,26.23363717470654,6.31653779295809,2.3208562743840733
Maize,595.946071069877,24.623906946933108,67.8266307721569,39.298115043100935,49.12798975246692,6.439824958015372,3.0979195661427728
Pearl Millet,497.4345404576617,31.138838255218324,48.16125305628173,33.747698401424856,38.47822088965097,7.363484079940195,2.63763341647771
Peanut,701.952840140717,20.769468992590497,44.59105209844183,36.74428350798071,34.469682032259875,6.39844870746096,1.8555907136091931
Rice,1165.9227892207246,26.46089450091386,109.95830888278493,47.07621147957277,38.65831764917525,5.686530487262062,5.566033973636281
Mustard,501.25425958140283,21.811446704019684,61.599262503920556,43.13276590714794,47.94109986123311,7.33413433393868,3.3363348082140383
Cowpea,525.1839512060019,21.09592263957182,58.47644408771347,63.43834455624725,37.25597327659791,7.4261794167095285,2.9991448337549027
Peanut,710.7106226291918,26.067457784438453,70.52436016686822,35.25572183813918,45.56891522962812,6.663344106630304,2.195391431106052
Cowpea,617.9424935385016,29.770939334487238,58.76220944262815,48.800415798414065,32.25044280290046,6.4815873839348574,1.2091997691651148
Maize,631.9214654315862,26.32408408780119,74.41088976807279,58.08177388471237,53.47481121582904,6.600193217943566,4.364477725805188
Soybean,526.1994254711038,21.391059217171495,50.90191704159231,64.59642336207517,44.74781609806103,6.001726601172169,2.738734968641305
Green Gram,606.6237853996607,22.250990496734325,34.47117436606701,60.25772616222295,38.76226226435027,7.139985804091525,1.4071164767005477
Black Gram,465.5066144752233,23.456349739859945,55.233864694312224,49.388471877999926,20.866083273249895,6.94503341550609,2.5986274665489413
Mustard,379.1890819026162,25.71174609803738,62.090056362149326,32.796276038445676,59.76771418185659,7.369394817726252,2.6536197354469584
Wheat,659.0838755135035,12.309566866424921,97.30612239736418,28.75584680785358,41.162348897775615,6.62323551440303,3.706248942394641
Green Gram,521.8654530375692,26.615180922565635,35.343440529885996,66.87472599726247,35.24722674778682,7.318989382719714,2.7280538688571765
Pearl Millet,520.4362964369518,33.107360939638696,43.595009724571824,35.75434811528588,25.343453261338098,5.007695778075732,2.8699172600111247
Cotton,910.8564056899128,34.98353499844008,89.37842079934205,35.943816735311565,51.54322310815495,6.362809854232519,2.603834834141622
Black Gram,588.605027106943,31.19422706858313,54.78406732936274,69.23098525330377,27.16416632498748,6.574456273394404,2.7120259519747565
Chickpea,421.82364954865096,28.93646181878235,48.209115241000106,62.45635610259507,31.58236257472947,6.995533244226802,2.64149510341911
Maize,698.1314598465694,18.444235336146914,85.1145575066483,45.65631502583484,55.439510967677535,7.248380748108617,4.320918629312032
Black Gram,855.2208388482335,20.184171174983128,25.7662166386779,64.83731885396878,49.09870382123319,6.1122423723655634,2.5630505825460497
Pearl Millet,368.4964319180011,31.005159781629466,55.9934661031709,37.03530584701383,37.046826731317864,7.5780265525048,2.0740216143021066
Soybean,713.3995895039939,30.64926419491188,39.51789941560716,51.640640507906404,38.52378384808169,6.352155364653032,2.368799148811833
Pearl Millet,599.0990730346754,31.707962767593052,47.35885887692503,21.96886252766396,32.67495657561582,7.617737697821272,2.2204606688219233
Mustard,449.7330401220324,18.405261491565952,52.97498667125209,31.683576843150206,40.753900269010906,6.6460301817831,2.110493580459921
Chickpea,682.9640309579684,29.51023368657144,26.799345962723894,33.158734026399785,46.125187959345645,6.929565552806123,1.481659583712626
Sugarcane,1583.157130652053,23.482826664427286,163.79046310035685,72.97852495883654,83.34203586332404,7.3483627975504815,87.91519533151809
Pearl Millet,487.1638099946778,24.05368308693323,47.66919134415258,26.911312488861633,31.751434102528428,6.916816107080036,2.1759105584600644
Pearl Millet,409.89253443372525,25.927581716998077,69.97494262000717,37.06670917320372,22.133065348447218,6.144092892972887,2.0256060624276655
Pearl Millet,597.4422152694142,25.8379998004825,69.1177793830745,33.164596318573615,25.489607603564554,6.697787050867097,2.7773388332882276
Mustard,786.8014084139625,30.748637352061948,69.8068861653588,54.98516699019565,57.08804755349327,7.163611469405071,2.0752959774260407
Sunflower,476.1604779176582,26.912650292082485,64.83564652521217,50.33293375870078,51.627851300121264,6.988772310475131,3.5958427924062915
Peanut,348.581964907809,26.784413509434227,41.5769029584327,53.658314520304614,31.000935937368972,6.547291849542704,1.8285295160512136
Sugarcane,1295.1104516291552,31.212212974075573,117.56400704443067,56.60798988733918,76.97038794922105,7.45723437181701,91.8511424221671
Sugarcane,1272.5273507123636,22.4681663055312,191.4048953538312,97.20939080485994,98.36920380834061,6.442712173758737,112.22381755950238
Sunflower,357.5848537248797,31.480506100164284,45.63028060023531,58.99500628388256,55.80421790696465,7.086325068113277,3.949855606954759
Cotton,1063.2113508143934,25.486625741083497,107.44091811533625,30.556746204036045,51.462892330762365,6.636965069334686,2.845656763747507
Peanut,431.08070412486825,23.334356989814655,65.54197071203347,41.144209230321515,50.24509666125966,6.707215301972158,3.048867167611324
Black Gram,564.003140908688,27.320986350300956,45.90609522557766,55.41615689511757,33.928026089680415,7.051615748206416,2.2984788925691824
Wheat,455.9108050028884,24.193922993229194,72.17458337424021,34.778738569346174,22.915759958654647,7.330888962792754,2.8391601217658415
Green Gram,585.5057577434413,31.392569220942868,47.859359665505316,51.6076998171588,37.620210366458224,7.089898725835862,2.7708275677991585
Peanut,349.51081735526424,24.850858529054605,56.32463542790802,58.545645761431786,30.981488605651407,6.555794938101653,2.6084577151517543
Sorghum,642.1800773223819,21.490319369091957,67.42721061925141,30.8893172296429,39.556850589040934,6.396684603030795,2.4953491068609326
Sorghum,687.2827503745548,34.23516182393206,72.96764327726285,21.83346847635042,24.242116308466265,7.098732296324259,3.9277332801624656
Rice,1786.7945904546168,25.94855117731219,85.03695541232172,46.9373392772389,32.05830458473068,6.647736063832877,4.121472111039975
Sorghum,625.2211924484236,23.494980185690473,70.9747431121928,35.77287508555219,31.9196327034884,6.1931871149392075,3.9600703296193474
Maize,716.0861827452605,27.582165882691484,65.49631739447177,55.32567609773804,29.613113034666412,6.2164845584330655,5.36529460336115
Cowpea,561.8857309810112,22.090954416874126,22.09596071444706,59.66872227816598,35.782565797936016,7.1184979125509935,1.9524919308465005
